,Ticker,Industry,P/B,FFA,FFQ,ΔFFQ,ROE,ROA,P/S,EV/RV,PB per,MC per,act. FFA per,mean FFA per,FFQ(i) per,ΔFFQ(i) per,ROE(i) per,P/S per,EV/RV per,EV/Ebitda per,P/E,P/E TTM,PMargin,EPS TTM,EPS forw.,PEG,EVEbitda,Div %,Price,QRatio,CRatio,DEquity,GMargin,ebitdaMargins,OMargin,dRev,dGrossP,ΔOpInc,EV,MC,Float,SharesOut,Insider
6857.T,6857.T,Elektrotechnologie,5.939,17.551,0.391,0.149,30.366,15.634,4.039,3.92,0.826086956521739,0.9130434782608695,0.7391304347826088,0.6956521739130435,0.34782608695652173,0.26086956521739124,0.21739130434782605,0.7391304347826088,0.7391304347826088,0.5652173913043478,17.234,21.353,20.94,407.911,505.39,3.12,12.599,1.4,8710.0,1.317,2.021,14.752,56.586,31.111,27.521,14.778,16.437,26.451,1634148548608.0,1683921698816,18983524100.0,19333200000,0.332
8267.T,8267.T,Handel/E-Commerce,1.975,5.062,0.581,0.069,3.25,0.945,0.222,0.513,0.4782608695652174,1.0,0.5652173913043478,0.2608695652173913,0.21739130434782605,0.3913043478260869,0.782608695652174,0.13043478260869565,0.21739130434782608,0.391304347826087,58.489,,0.075,-10.521,39.05,,9.023,1.56,2284.0,0.531,1.02,182.908,35.73,5.689,2.006,0.769,0.304,-4.296,4473971802112.0,1931247616000,77712500100.0,84555500800,12.463
2802.T,2802.T,Nahrungsmittel/Agrar,2.703,0.202,0.228,0.063,,,1.503,1.81,0.5217391304347826,0.9565217391304348,0.17391304347826086,0.043478260869565216,0.5217391304347826,0.4782608695652174,,0.5652173913043478,0.5217391304347826,,21.198,22.409,6.924,140.344,148.36,3.05,,1.82,3145.0,1.138,1.92,47.553,37.809,0.0,11.01,-2.336,0.737,4.517,2046647730176.0,1699079913472,53764998400.0,54024800000,0.743
6770.T,6770.T,Elektrotechnologie,0.83,3.552,0.092,-0.214,6.314,3.061,0.361,0.31,0.13043478260869565,0.826086956521739,0.08695652173913043,0.17391304347826086,0.7391304347826086,0.8695652173913043,0.7391304347826086,0.21739130434782608,0.13043478260869565,0.21739130434782608,11.672,39.388,2.86,35.544,119.95,1.24,3.247,3.02,1400.0,1.264,1.959,26.633,17.288,9.534,4.385,-1.464,-3.523,28.236,248565317632.0,289974976512,19369026700.0,20712499200,2.495
1U1.F,1U1.F,Telekom,0.651,10.76,0.167,-0.039,7.347,7.363,0.861,0.928,0.08695652173913043,0.5652173913043478,0.8695652173913043,0.4782608695652174,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.391304347826087,0.34782608695652173,0.2608695652173913,,11.94,9.464,1.593,,,3.827,0.25,19.02,2.453,2.894,1.96,32.174,24.259,20.724,2.467,3.788,2.232,3629537024.0,3367586304,4327980100.0,17676499200,81.476
TGT.F,TGT.F,Telekom,4.147,15.642,0.022,-0.518,10.103,-0.124,0.55,0.724,0.6521739130434783,0.043478260869565216,0.9565217391304348,0.6521739130434783,0.8695652173913043,0.9565217391304348,0.5217391304347826,0.30434782608695654,0.2608695652173913,0.43478260869565216,-3.875,,1.841,-0.052,-0.32,,9.906,,1.24,0.868,0.925,54.44,43.4,7.308,-0.106,9.635,9.688,-36.301,40922496.0,31095480,585507200.0,2491520000,76.5
2GB.F,2GB.F,Sonstige Technologie,5.668,10.904,0.514,-0.059,14.626,5.724,1.768,1.717,0.7391304347826088,0.34782608695652173,0.6521739130434783,0.5217391304347826,0.26086956521739124,0.6521739130434783,0.34782608695652173,0.6086956521739131,0.4782608695652174,0.826086956521739,63.253,39.563,4.733,2.654,1.66,,24.817,0.5,105.0,0.955,2.108,5.623,36.666,6.917,5.437,8.241,10.493,10.517,457188608.0,470924992,248706700.0,448500000,45.1
UUU.F,UUU.F,Telekom,1.084,17.789,0.234,0.067,7.084,2.471,1.377,1.978,0.21739130434782608,0.08695652173913043,0.5217391304347826,0.7391304347826088,0.4347826086956522,0.4347826086956522,0.6956521739130435,0.5217391304347826,0.6086956521739131,0.6521739130434783,36.667,29.73,5.144,0.074,0.06,,14.444,2.4,2.2,2.335,3.282,56.404,49.606,13.696,7.146,6.256,15.308,-81.586,112171936.0,78096480,2305652100.0,3531400000,34.756
III.L,III.L,Finanzdienstleistungen,105.721,9.755,0.211,1.456,28.101,15.806,4.052,4.692,0.9565217391304348,0.6956521739130435,0.6086956521739131,0.391304347826087,0.5652173913043479,0.13043478260869568,0.26086956521739124,0.782608695652174,0.782608695652174,0.30434782608695654,0.103,4.228,95.365,288.9,118.33,,4.892,3.55,1221.5,0.549,0.93,8.87,100.0,95.91,95.808,140.577,140.577,238.275,13766746112.0,11887772672,94686675700.0,97321100800,3.201
AAK.ST,AAK.ST,Nahrungsmittel/Agrar,3.832,15.408,0.253,-0.027,13.076,5.692,1.089,1.266,0.6086956521739131,0.7391304347826088,0.9130434782608695,0.6086956521739131,0.3913043478260869,0.5652173913043479,0.4347826086956522,0.4782608695652174,0.43478260869565216,0.6956521739130435,21.933,30.289,3.914,5.431,7.5,1.71,16.231,1.52,164.5,0.754,1.436,48.219,20.919,7.8,6.254,9.407,4.399,6.045,49456074752.0,42523414528,17980666600.0,25850099200,30.59
XXII,XXII,Getränke/Tabak,3.683,3.7,-0.36,0.525,-59.19,-27.746,9.413,8.557,0.5652173913043478,0.30434782608695654,0.043478260869565216,0.21739130434782608,0.9565217391304348,0.21739130434782605,0.9565217391304348,0.9130434782608695,0.8695652173913043,0.08695652173913043,-8.136,,-105.367,-0.167,-0.22,,-9.777,,1.79,5.853,6.454,3.535,6.685,-87.521,-91.554,5.555,3144.072,9.064,264812304.0,291318912,16024989200.0,16274800000,3.494
AEF,AEF,Finanzdienstleistungen,0.557,0.491,0.02,-0.064,-1.925,1.019,19.817,24.433,0.043478260869565216,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.9130434782608696,0.6956521739130435,0.8260869565217391,1.0,0.9565217391304348,,,1.669,-61.461,3.367,,,,11.4,5.62,0.019,0.021,12.455,100.0,0.0,58.67,-4.08,-4.067,-4.469,351661344.0,285225120,,5075180000,0.0
ACU,ACU,Industrie/Mischkonzerne,1.488,9.881,0.178,-0.025,17.471,4.843,0.626,0.911,0.34782608695652173,0.13043478260869565,0.34782608695652173,0.43478260869565216,0.6521739130434783,0.5217391304347826,0.30434782608695654,0.34782608695652173,0.30434782608695654,0.5217391304347826,11.228,9.321,6.839,3.433,2.85,1.4,10.847,1.6,32.0,1.876,4.909,70.496,35.285,8.398,6.143,9.964,8.669,20.109,165677792.0,113910080,308471300.0,355969000,12.391
AE,AE,Öl/Gas,0.921,11.557,0.229,0.72,7.683,3.011,0.072,0.046,0.17391304347826086,0.21739130434782608,0.782608695652174,0.5652173913043478,0.4782608695652174,0.17391304347826098,0.5652173913043479,0.08695652173913043,0.043478260869565216,0.17391304347826086,11.592,9.643,0.587,3.474,2.89,,2.57,2.76,33.5,1.301,1.469,12.751,2.452,1.775,0.798,19.338,48.848,99.618,92404952.0,145892496,213911900.0,435500000,46.144
DDD,DDD,Hardware,1.737,33.293,0.047,-0.165,50.593,-1.768,2.17,1.897,0.43478260869565216,0.4782608695652174,0.21739130434782608,0.9565217391304348,0.8260869565217391,0.8260869565217391,0.08695652173913049,0.6521739130434783,0.5652173913043478,0.8695652173913043,49.524,4.177,52.312,2.49,0.21,3.79,498.719,,10.4,5.034,5.796,59.667,42.846,0.38,-5.243,-3.311,-5.269,-4.986,1168000768.0,1335869568,12491229300.0,12844900000,2.5
MMM,MMM,Konsumgüter,5.732,9.264,0.682,-0.123,38.88,10.136,2.346,2.728,0.782608695652174,0.782608695652174,0.826086956521739,0.30434782608695654,0.17391304347826098,0.782608695652174,0.17391304347826098,0.6956521739130435,0.6521739130434783,0.4782608695652174,13.87,14.225,15.838,10.111,10.37,1.93,10.191,3.99,143.83,0.893,1.579,117.329,46.331,26.768,21.351,2.694,1.108,1.178,96388669440.0,82882469888,56862636400.0,57625299200,0.082
AIR,AIR,Dienstleistungen,1.563,3.532,0.06,-0.094,7.107,3.787,0.893,0.986,0.391304347826087,0.5217391304347826,0.30434782608695654,0.13043478260869565,0.782608695652174,0.7391304347826086,0.6521739130434783,0.43478260869565216,0.391304347826087,0.6086956521739131,14.148,21.625,3.862,2.074,3.17,1.42,13.354,,44.85,0.929,2.848,15.84,16.514,7.381,5.434,-0.637,-6.13,-15.178,1756052608.0,1590780160,3307875200.0,3546890000,5.049
FLWS,FLWS,Internet,1.278,24.319,0.495,0.105,12.607,4.718,0.283,0.396,0.2608695652173913,0.391304347826087,0.4782608695652174,0.8695652173913043,0.30434782608695654,0.30434782608695654,0.4782608695652174,0.17391304347826086,0.17391304347826086,0.34782608695652173,4.625,5.58,2.95,1.724,2.08,0.91,6.666,,9.62,0.5,1.427,57.236,38.754,5.947,3.821,23.388,23.307,57.155,875780608.0,626161920,2542919900.0,3693600000,35.506
TXG,TXG,Biotechnologie,6.992,150.145,0.195,0.091,-7.481,-3.395,11.424,9.957,0.8695652173913043,0.6521739130434783,1.0,1.0,0.6086956521739131,0.34782608695652173,0.8695652173913043,0.9565217391304348,0.9130434782608695,0.043478260869565216,-167.2,,-11.87,-4.169,-0.3,0.34,-153.609,,50.16,6.096,6.774,10.027,84.894,-6.482,-10.788,51.241,50.362,111.494,4884006912.0,5603223040,9113924200.0,9158600000,2.44
